iter	Passed	Remaining
0	0	56
1	1	52
2	1	50
3	1	46
4	2	46
5	2	45
6	3	44
7	3	43
8	4	42
9	4	42
10	5	43
11	5	43
12	6	43
13	7	43
14	7	43
15	8	42
16	8	43
17	9	42
18	9	42
19	10	41
20	10	41
21	11	40
22	11	39
23	12	39
24	12	38
25	13	38
26	14	37
27	14	37
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	17	33
35	18	32
36	18	32
37	19	31
38	20	31
39	20	30
40	20	30
41	21	29
42	21	28
43	21	27
44	22	27
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	25	23
53	26	22
54	26	21
55	27	21
56	27	20
57	28	20
58	28	19
59	29	19
60	29	18
61	29	18
62	30	17
63	31	17
64	31	16
65	31	16
66	32	16
67	33	15
68	33	15
69	33	14
70	34	14
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	43	6
87	43	5
88	44	5
89	45	5
90	45	4
91	46	4
92	47	3
93	48	3
94	48	2
95	49	2
96	50	1
97	50	1
98	51	0
99	52	0
